song_name,chord_I,chord_IIm,chord_II,chord_IIIm,chord_III,chord_IV,chord_IVm,chord_V,chord_V7,chord_VIm,chord_VII,total_chords,hot_100_peak,num_weeks,length,instruments
act naturally,23,0,2,0,0,7,0,0,20,0,0,52,47,0,151,6
I Don't Want to Spoil the Party,26,5,4,0,5,6,0,3,17,11,0,77,39,0,153,8
Baby Youre A Rich Man,37,0,0,0,0,27,0,0,0,0,0,64,34,0,181,15
Real Love,30,6,0,4,0,23,7,25,0,15,0,110,11,0,236,19
Thank You Girl,28,0,0,0,0,29,0,15,6,0,0,78,35,0,153,7
Slow Down,9,0,0,0,0,9,0,3,0,0,0,21,25,0,177,6
Ill Cry Instead,34,0,0,3,0,34,0,9,2,0,0,82,25,0,106,6
Rain,32,0,0,0,0,21,0,10,0,0,0,63,23,0,189,8
aint she sweet,32,0,8,0,8,6,0,14,8,8,0,84,19,0,196,5
Matchbox,29,0,0,0,0,12,0,0,13,0,0,54,17,0,179,6
Free as a Bird,29,0,0,0,0,0,19,23,0,24,0,95,6,0,269,15
Eleanor Rigby,0,0,0,0,0,16,0,0,0,31,0,47,11,0,126,6
And I Love her,3,11,0,2,0,3,0,5,1,12,0,37,12,0,150,7
I Saw Her Standing There,34,0,0,0,0,19,5,0,14,0,0,72,12,0,174,8
P.S. I love you,30,4,0,0,0,11,0,11,0,4,7,67,10,0,120,8
Strawberry Fields Forever,24,0,0,9,0,17,7,27,0,8,0,92,8,0,248,17
Revolution,13,6,0,0,4,9,0,7,4,0,0,43,12,0,208,12
She's  A Woman,35,0,0,0,0,29,0,0,11,0,0,75,4,0,183,6
Something,15,0,15,0,0,20,0,16,4,11,0,81,3,0,188,9
Day Tripper,7,0,3,0,6,3,0,3,0,0,0,22,5,0,164,9
The Ballad of John and Yoko,23,0,0,0,0,6,0,1,8,0,0,38,6,0,186,9
Nowhere Man,23,11,0,9,0,14,9,5,3,0,0,74,3,0,164,8
Do You Want to Know A Secret,17,25,0,15,0,5,5,2,21,7,0,97,2,0,118,7
Yellow Submarine,35,10,0,0,0,20,0,36,0,12,0,113,2,0,166,12
Penny Lane,19,14,0,0,0,0,0,1,15,11,0,60,1,1,187,21
Got to get you into my life,23,3,0,6,0,17,0,10,0,0,0,59,7,0,150,9
Lady Madonna,31,0,6,0,0,12,0,34,0,3,0,86,4,0,215,14
Eight Days A Week,34,0,20,0,0,22,0,4,0,10,0,90,1,2,164,10
The Long and Winding Road,28,12,0,9,0,16,0,10,0,10,0,85,1,2,219,9
Paperback Writer,11,0,0,0,0,7,0,0,0,0,0,18,1,2,150,8
Please Please Me,25,3,0,0,0,24,0,15,0,3,0,70,3,0,121,7
Ticket to Ride,30,3,0,0,0,5,0,8,0,9,0,55,1,1,183,9
Love me do,28,0,0,0,0,29,0,0,0,0,0,57,1,1,142,7
All You Need is Love,38,5,8,0,4,4,0,41,13,14,0,127,1,1,232,18
Help,18,8,0,6,0,7,0,5,0,7,0,51,1,3,140,8
Yesterday,18,4,5,0,8,13,0,14,2,13,5,82,1,4,126,5
I feel Fine,16,2,0,4,0,9,0,8,8,0,0,47,1,3,141,9
Cant buy me love,18,4,0,8,0,14,0,7,3,8,1,63,1,5,132,6
We can work it out,63,4,3,0,4,77,0,18,0,28,0,197,1,3,136,7
A Hard Days Night,47,0,0,4,0,34,0,17,6,4,0,112,1,2,153,9
hello goodbye,20,3,0,0,0,14,0,5,15,9,0,66,1,3,209,14
Come together,0,0,7,0,7,0,0,0,0,8,0,22,1,1,259,10
Let it Be,58,13,0,0,0,36,0,26,0,12,0,145,1,2,211,15
Get Back,65,0,0,0,0,28,0,0,0,0,0,93,1,5,190,7
She loves you,18,0,3,6,0,2,7,12,1,15,0,64,1,2,141,7
I want to hold your hand,20,2,0,0,9,32,0,31,0,12,0,106,1,7,146,10
Hey Jude,53,6,0,0,0,26,0,10,16,4,0,115,1,9,426,23
